Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
root_1.sort	154.0762	88.88862370633898	36909009.0	41522759.0	0.01	16.99015531290005	16073146							
root_1_BAMqc								50.828963045478766	26.572053124630802	12.682484534752858	7.309578715505351	2.3693050595028935	1.3819143285282256	0
root_2.sort	142.56	89.11477942243216	45792828.0	51386345.0	0.01	17.846526041191105	20100533							
root_2_BAMqc								50.71949226880615	27.765907313690903	14.377267814388189	8.77442120714773	2.9809122748071144	1.7379641853353152	0
root_3.sort	160.9073	88.6298079077353	48261958.0	54453416.0	0.01	16.912343679368604	20876996							
root_3_BAMqc								50.70727062580487	27.895851138402733	14.667100653960837	9.009716781759204	3.0685308900576236	1.783166506270975	0
shoot_1.sort	91.8455	83.17343514809647	30603386.0	36794664.0	0.01	17.11469434948291	11946490							
shoot_1_BAMqc								49.38884193077189	20.743268449107557	6.677731442977781	3.2281508285621445	1.0989312370691888	0.7183235667250952	0
shoot_2.sort	358.8964	86.65947894594613	50513942.0	58290152.0	0.0	18.813214497916494	20716928							
shoot_2_BAMqc								49.377632611584076	24.576899574202542	10.709689391123158	5.735563923960225	1.8580140222875778	1.152135654861741	0
shoot_3.sort	448.1563	86.39020257052975	52454798.0	60718457.0	0.0	18.274256579258303	20895024							
shoot_3_BAMqc								49.722704699806656	24.538945602069795	10.483461355462618	5.5718902916532	1.8070758625021157	1.1275277028732524	0
