Module	Section	Sample Name	Source
QualiMap	genome_results	root_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_1_BAMqc/genome_results.txt
QualiMap	genome_results	root_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_2_BAMqc/genome_results.txt
QualiMap	genome_results	root_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_3_BAMqc/genome_results.txt
QualiMap	genome_results	shoot_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_1_BAMqc/genome_results.txt
QualiMap	genome_results	shoot_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_2_BAMqc/genome_results.txt
QualiMap	genome_results	shoot_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_3_BAMqc/genome_results.txt
QualiMap	coverage_histogram	root_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_1_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	root_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_2_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	root_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_3_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	shoot_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_1_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	shoot_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_2_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	shoot_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_3_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	root_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_1_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	root_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_2_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	root_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/root_3_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	shoot_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_1_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	shoot_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_2_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	shoot_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/align/hisat2/shoot_3_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
featureCounts	all_sections	root_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	root_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	root_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	shoot_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	shoot_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	shoot_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/At_data/output/quantify/featureCounts/genome.tsv.summary
