Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
ESR1_Y537C_1.sort	36.5139	96.64458194620494	106662077.0	110365294.0	0.01	54.05210809154954	37978790								
ESR1_Y537C_1_BAMqc								49.20152152532197	145	11.755812934812699	2.1913119572178656	1.3847867879262172	0.8167498599721091	0.6102100446861136	0
ESR1_Y537C_2.sort	35.0923	96.51865687630615	105460873.0	109264754.0	0.01	53.3981195577994	37318496								
ESR1_Y537C_2_BAMqc								49.48905349300349	145	14.022938045174719	2.2684914545292783	1.4075708550250237	0.8286064132533331	0.6191168923220112	0
ESR1_Y537C_3.sort	33.4384	96.37844246175675	103779318.0	107678974.0	0.01	54.615232361206445	37007927								
ESR1_Y537C_3_BAMqc								49.04994127610845	150	12.70796842471781	2.4861587476188625	1.4897194711413744	0.8477068093869403	0.6307884567590816	0
WT_1.sort	32.2806	91.62954724041482	100018126.0	109154884.0	0.01	55.37217273859374	37969592								
WT_1_BAMqc								49.93770580567136	150	9.790124166251147	2.0384465954680473	1.365803289583604	0.8330121305479506	0.6269372170127006	0
WT_2.sort	31.7242	90.58541276957484	97003565.0	107085194.0	0.01	52.24725586279529	35620318								
WT_2_BAMqc								49.17768173223467	143	12.774953151070953	2.0465032829078997	1.3246717703712483	0.7941599501716519	0.5921330314098207	0
WT_3.sort	30.3238	88.34473191543549	96906075.0	109690836.0	0.01	49.85202117998261	34158407								
WT_3_BAMqc								48.25246122008593	144	17.551126635619948	2.2989512292345955	1.3538969821576121	0.7752457653427575	0.5716393358536201	0
