Module	Section	Sample Name	Source
QualiMap	genome_results	ESR1_Y537C_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_1_BAMqc/genome_results.txt
QualiMap	genome_results	ESR1_Y537C_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_2_BAMqc/genome_results.txt
QualiMap	genome_results	ESR1_Y537C_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_3_BAMqc/genome_results.txt
QualiMap	genome_results	WT_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_1_BAMqc/genome_results.txt
QualiMap	genome_results	WT_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_2_BAMqc/genome_results.txt
QualiMap	genome_results	WT_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_3_BAMqc/genome_results.txt
QualiMap	coverage_histogram	ESR1_Y537C_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_1_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	ESR1_Y537C_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_2_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	ESR1_Y537C_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_3_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	WT_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_1_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	WT_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_2_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	WT_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_3_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	ESR1_Y537C_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_1_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	ESR1_Y537C_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_2_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	ESR1_Y537C_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_3_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	WT_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_1_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	WT_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_2_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	WT_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_3_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	ESR1_Y537C_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_1_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	ESR1_Y537C_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_2_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	ESR1_Y537C_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/ESR1_Y537C_3_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	WT_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_1_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	WT_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_2_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	WT_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/align/hisat2/WT_3_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
featureCounts	all_sections	ESR1_Y537C_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	ESR1_Y537C_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	ESR1_Y537C_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	WT_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	WT_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/quantify/featureCounts/genome.tsv.summary
featureCounts	all_sections	WT_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/human_data/output/quantify/featureCounts/genome.tsv.summary
