Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ESR1_Y537C_1_R1	70.25159485851077	48.0	75.17802268528365	20.0	55182647.0
ESR1_Y537C_1_R2	67.02094674869844	49.0	75.08312270703506	20.0	55182647.0
ESR1_Y537C_2_R1	67.83845120958807	48.0	75.14331184967479	20.0	54632377.0
ESR1_Y537C_2_R2	64.76074880899301	49.0	75.32633377822825	20.0	54632377.0
ESR1_Y537C_3_R1	68.10778024559934	48.0	75.18233236509107	20.0	53839487.0
ESR1_Y537C_3_R2	63.80448487946289	49.0	75.09353879987749	20.0	53839487.0
WT_1_R1	69.71996411303576	48.0	75.19750273382179	20.0	54577442.0
WT_1_R2	66.57579638888814	49.0	75.10746538835588	20.0	54577442.0
WT_2_R1	67.96176988414969	48.0	75.09479075137129	20.0	53542597.0
WT_2_R2	65.2877032966329	48.0	75.00323486363577	20.0	53542597.0
WT_3_R1	67.25957892654172	47.0	75.10766186520814	20.0	54845418.0
WT_3_R2	63.36810468769954	47.0	75.29242594158002	20.0	54845418.0
