Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
Fli1KO_1.sort	3.2732	90.25870066013232	12300342.0	13627874.0	0.08	64.51026394257426	5256824								
Fli1KO_1_BAMqc								49.931826475370464	109	1.8715613890386535	0.759736765321414	0.502064191832281	0.20898046630729086	0.12243510417472186	0
Fli1KO_2.sort	5.2569	89.94090395466844	19744491.0	21952738.0	0.08	61.530493031705035	8129178								
Fli1KO_2_BAMqc								48.703924405370124	106	2.685579871727256	1.0191656472077026	0.6623176930963538	0.3048803075772358	0.1916363894037906	0
Fli1KO_3.sort	2.0503	88.4731855615363	8497761.0	9604900.0	0.09	59.77803984260136	3492526								
Fli1KO_3_BAMqc								49.616025157276155	92	1.7411695656484427	0.6366246269117004	0.3861974670041303	0.13507007094122034	0.07248052662550279	0
WT_1.sort	2.6129	89.2753240508816	10197140.0	11422126.0	0.08	59.61034953539435	4215142								
WT_1_BAMqc								50.42150782757061	101	1.6508409343047372	0.663783665930986	0.4218879217778272	0.1621249395693064	0.09273356720133523	0
WT_2.sort	4.8812	90.25109784803668	17136929.0	18988056.0	0.08	62.12035481699836	7160376								
WT_2_BAMqc								52.35170869484834	106	2.1494642043761996	0.8657480254714024	0.5795886253411673	0.2664089945208064	0.16577918704327824	0
WT_3.sort	3.2994	88.79467192201439	12615725.0	14207750.0	0.08	61.285700291007586	5317607								
WT_3_BAMqc								51.528800019626416	91	1.744379347899443	0.7442728870058697	0.49046821658898515	0.20377088378413905	0.11968371562968272	0
