Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Fli1KO_1_R1	24.545880857659398	49.0	70.12819490406207	10.0	6813937.0
Fli1KO_1_R2	24.261083656245987	49.0	70.12866614411023	10.0	6813937.0
Fli1KO_2_R1	29.1137252366412	48.0	69.82099800034055	10.0	10976369.0
Fli1KO_2_R2	28.959240212394306	48.0	69.66585525687046	0.0	10976369.0
Fli1KO_3_R1	18.65882648187663	49.0	68.02412185447011	10.0	4802450.0
Fli1KO_3_R2	17.449895098255524	49.0	67.83145602765255	10.0	4802450.0
WT_1_R1	22.356839118882803	50.0	68.71977563546402	10.0	5711063.0
WT_1_R2	22.584353366008543	50.0	68.89288386417729	10.0	5711063.0
WT_2_R1	29.406727358623897	52.0	70.43304401461634	10.0	9494028.0
WT_2_R2	29.405152290138147	51.0	70.28250137876147	10.0	9494028.0
WT_3_R1	21.899881556582017	51.0	67.74213974767292	10.0	7103875.0
WT_3_R2	20.408347333974973	51.0	67.74190931005965	10.0	7103875.0
