Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
74A_1.sort	138.376	94.62190257045894	41630842.0	43997046.0	0.13	95.30148295501375	21032962								
74A_1_BAMqc								57.23131008584267	180	57.13182093746498	42.377239097942216	36.21277581555014	25.69818466464398	20.213592021366743	2
74A_2.sort	83.1165	92.95024727911631	22854235.0	24587600.0	0.12	92.25343938951724	11429655								
74A_2_BAMqc								57.12938377325135	183	50.425007039738674	33.97508290152945	26.890796926640107	15.73314565887161	11.218891033506626	1
74A_3.sort	92.7851	93.67833644806326	27236744.0	29074752.0	0.12	93.45965107108724	13647139								
74A_3_BAMqc								56.705320517080324	160	52.360999648244196	35.21496250168299	27.80687044433293	16.848669923672055	12.382071908345546	1
mus52_1.sort	402.8438	94.65861398472859	73188469.0	77318340.0	0.08	94.96177221512303	36975383								
mus52_1_BAMqc								58.141094852285356	180	56.452351734977476	42.933304248235956	37.60974608330447	28.6126875676147	23.4918573324395	2
mus52_2.sort	114.5602	94.65873685704568	31318589.0	33085788.0	0.12	95.32216788139586	15848195								
mus52_2_BAMqc								58.01939867538147	179	51.67611713366073	37.46668623406656	31.462967909058694	20.09791988191048	14.414071127466153	1
mus52_3.sort	223.8559	94.6059811561372	46172714.0	48805280.0	0.09	95.11719825497796	23353730								
mus52_3_BAMqc								57.84777759417422	181	55.030908430650896	40.96229176813079	35.32079336139627	25.08254631885289	19.34342339024764	1
