Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
74A_1_R1	67.12952605100769	56.0	99.62200753205113	20.0	21998523.0
74A_1_R2	64.85183035413954	56.0	99.6455548402045	40.0	21998523.0
74A_2_R1	66.47623929041534	56.0	99.64289934763865	20.0	12293800.0
74A_2_R2	63.9797415027805	56.0	99.66639346662545	40.0	12293800.0
74A_3_R1	68.01166606863868	56.0	99.59075874490692	20.0	14537376.0
74A_3_R2	65.57484281021834	56.0	99.62822369043766	40.0	14537376.0
mus52_1_R1	76.99075607731446	57.0	99.61597023422904	20.0	38659170.0
mus52_1_R2	74.48001846998228	57.0	99.6401395580919	40.0	38659170.0
mus52_2_R1	69.13943913662142	57.0	99.64280083037467	20.0	16542894.0
mus52_2_R2	66.68924615162084	57.0	99.66429223326946	40.0	16542894.0
mus52_3_R1	72.19996976022074	57.0	99.64167122901456	20.0	24402640.0
mus52_3_R2	69.73652606620313	57.0	99.66331626414191	40.0	24402640.0
