Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
AMB_1.sort	192.3251	99.14661339722007	15598584.0	15732846.0	0.11	84.40571287105368	7159799								
AMB_1_BAMqc								41.96401571673306	151	94.02031157911361	86.41764630641917	79.94657445173007	57.69626897193041	41.39499494328625	38
AMB_2.sort	246.7717	99.16712223417761	17918545.0	18069038.0	0.1	84.10405159789796	8215801								
AMB_2_BAMqc								41.94780361326715	152	94.23299379251885	87.09747098507415	81.07219605325446	60.72178368123003	45.0723671466192	42
AMB_3.sort	263.2166	99.15150171189269	18797106.0	18957964.0	0.1	84.2951079214685	8630719								
AMB_3_BAMqc								41.95670081552022	155	94.71926087666431	87.7469430427721	82.09085139924349	62.93189867159986	47.33177841270599	46
WT_1.sort	261.1575	99.1303658668381	17886538.0	18043450.0	0.09	84.39661665651568	8196342								
WT_1_BAMqc								41.855247110474735	146	94.26898097861292	86.96100757540549	80.85024354071138	60.939195639093356	45.358693537647326	43
WT_2.sort	257.3974	99.25861118861499	19089430.0	19232014.0	0.1	84.72612640180493	8788159								
WT_2_BAMqc								41.987919862089505	160	94.5716188187895	87.5992516310421	82.04296170840016	64.1888591074931	48.66086950799553	48
WT_3.sort	276.5641	99.20230078281868	18586428.0	18735884.0	0.09	78.45584921298475	8322489								
WT_3_BAMqc								42.16017152091477	157	94.48936239343166	87.28448919376775	81.50406696331075	62.55170124795336	46.506162445746746	45
