Module	Section	Sample Name	Source
QualiMap	genome_results	AMB_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_1_BAMqc/genome_results.txt
QualiMap	genome_results	AMB_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_2_BAMqc/genome_results.txt
QualiMap	genome_results	AMB_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_3_BAMqc/genome_results.txt
QualiMap	genome_results	WT_1.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_1_BAMqc/genome_results.txt
QualiMap	genome_results	WT_2.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_2_BAMqc/genome_results.txt
QualiMap	genome_results	WT_3.sort	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_3_BAMqc/genome_results.txt
QualiMap	coverage_histogram	AMB_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_1_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	AMB_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_2_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	AMB_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_3_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	WT_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_1_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	WT_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_2_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	WT_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_3_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	AMB_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_1_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	AMB_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_2_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	AMB_3_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/AMB_3_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	WT_1_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_1_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	WT_2_BAMqc	/home/zpzhou/wuyue/snakemake/RNApipe/project/yeast_data/output/align/hisat2/WT_2_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
