Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AMB_1_R1	57.15155511930989	41.0	99.60679663425168	20.0	7866423.0
AMB_1_R2	55.94422924966733	41.0	99.60711571193158	20.0	7866423.0
AMB_2_R1	59.01985351799946	41.0	99.19804562921391	20.0	9034519.0
AMB_2_R2	57.87379354435719	41.0	99.19844697874895	20.0	9034519.0
AMB_3_R1	59.2514502770779	41.0	99.41181510841565	20.0	9478982.0
AMB_3_R2	58.38021450106178	41.0	99.41214235874696	20.0	9478982.0
WT_1_R1	59.49600697544721	41.0	99.09470594592497	20.0	9021725.0
WT_1_R2	58.28497930335242	41.0	99.09497041862836	20.0	9021725.0
WT_2_R1	60.339261156085136	41.0	99.7330378399267	20.0	9616007.0
WT_2_R2	59.49840158668424	41.0	99.73320214929129	20.0	9616007.0
WT_3_R1	60.38910865162986	41.0	99.47240898801466	20.0	9367942.0
WT_3_R2	59.42607326930805	41.0	99.47255992831724	20.0	9367942.0
